addr,house_sale_price,latitude,longitude
2221 N FREMONT ST,3705000.0,41.9224539,-87.65080139985324
1431 S 56TH CT,219000.0,41.865125,-87.7655163
5634 W CULLOM AVE,318000.0,41.95884325,-87.76858220374764
1447 E 76TH ST,63000.0,41.756687299999996,-87.58885121055857
10155 S WENTWORTH AVE,13000.0,41.70916085,-87.62810267598397
6807 MAPLE CT,239900.0,45.824034,-91.894097
3017 N LOWELL AVE,190000.0,41.9358981,-87.73563286610786
6709 W HIGGINS AVE,259000.0,41.97845685,-87.79558585793181
1812 N 73RD AVE,285000.0,41.9292924,-87.8088785
2828 N LAWNDALE AVE,465000.0,41.9327287,-87.71993385324882
10434 S PEORIA ST,165000.0,41.70403335,-87.64545866968407
2831 W BRYN MAWR AVE,382500.0,41.9826315,-87.811886
503 N 9TH AVE,52000.0,42.3070617,-87.8479325
8421 MANSFIELD AVE,305000.0,41.6909626,-87.7653625
10314 S SACRAMENTO AVE,137000.0,41.70550756774557,-87.69679980875232
3037 W DIVERSEY AVE,275000.0,41.931858500000004,-87.70401216671739
6116 S GREENWOOD AVE,395000.0,41.783564850000005,-87.60005995452096
3535 W MELROSE ST,260000.0,41.9398293,-87.71591722292925
1608 S UNION AVE,94500.0,41.8596022,-87.64509949690306
12055 S YALE AVE,8500.0,41.6745326,-87.62828181752656
3057 LINCOLN ST,245000.0,42.3254448,-87.8425755
7620 W GUNNISON ST,275000.0,41.96814625192277,-87.81782775137374
5644 N NAGLE AVE,275000.0,41.98421435,-87.78798841439661
616 N LOCKWOOD AVE,9000.0,41.89174775,-87.7581968733941
477 HARRISON ST,89900.0,41.881374451612906,-88.21429648387097
4174 W 78TH ST,231000.0,41.75215609999999,-87.72541929915849
504 S VAIL AVE,300000.0,42.07539112087205,-87.98432453455337
8041 S SAWYER AVE,104837.0,41.74677245,-87.7032562892798
5810 S KILDARE AVE,225000.0,41.7872816,-87.73059104953415
3513 W 74TH ST,40000.0,41.7587164968687,-87.71037861932516
3513 W 74TH ST,112000.0,41.7587164968687,-87.71037861932516
3513 W 74TH ST,230000.0,41.7587164968687,-87.71037861932516
5002 W DIVISION ST,165000.0,41.9023802009199,-87.75110392640794
5431 N REDWOOD DR,537000.0,41.979053599940045,-87.8279573411659
3732 W 78TH ST,185000.0,41.75151545,-87.71547557873126
1714 N SAWYER AVE,160000.0,41.912431049999995,-87.70881535660257
1714 N SAWYER AVE,128629.0,41.912431049999995,-87.70881535660257
11105 S AVENUE C,109900.0,41.693396899999996,-87.52673362583093
5105 N NOTTINGHAM AVE,329900.0,41.97394945,-87.80331193508704
422 N LEAMINGTON AVE,110000.0,41.8884909,-87.75439651662649
422 N LEAMINGTON AVE,136560.0,41.8884909,-87.75439651662649
4317 N SPAULDING AVE,415000.0,41.959893550000004,-87.710341781984
5147 S WABASH AVE,170000.0,41.800542699999994,-87.6238489165452
6324 S ARTESIAN AVE,70000.0,41.7784428,-87.68512094424322
6324 S ARTESIAN AVE,78000.0,41.7784428,-87.68512094424322
1538 VAN BUREN AVE,397000.0,41.560558,-87.2756237
3018 N NORDICA AVE,165200.0,41.93501355,-87.80281784864343
1530 E 65TH PL,485000.0,41.776270249999996,-87.58756173605389
3501 N OLEANDER AVE,215000.0,41.943419399999996,-87.81515953891335
3451 N WHIPPLE ST,419000.0,41.94438838294562,-87.70397009812565
13106 S RHODES AVE,23000.0,41.65712255,-87.61005201177827
7301 S FRANCISCO AVE,85000.0,41.7607042,-87.69514224952154
7301 S FRANCISCO AVE,155000.0,41.7607042,-87.69514224952154
8931 S THROOP ST,139000.0,41.7312678,-87.65535853607872
5314 W 91ST ST,155000.0,41.7283447,-87.6746175
5314 W 91ST ST,116900.0,41.7283447,-87.6746175
10920 S HOYNE AVE,395000.0,41.69482615,-87.67443745072646
6800 S ROCKWELL ST,135500.0,41.7699506,-87.68861535619205
1710 N ORCHARD ST,1800000.0,41.91318685,-87.64622285861654
4539 S MARSHFIELD AVE,8568.18181818182,41.8111035,-87.66602472386157
3701 N ALBANY AVE,330000.0,41.9485919,-87.70514157301324
1040 MARSHALL AVE,180000.0,41.7036959,-87.7723257
17003 CHICAGO AVE,85000.0,41.8943776,-87.7961647
16605 TURNER AVE,36000.0,41.888631,-88.203208
12212 S MORGAN ST,35000.0,41.67186045,-87.64685455026596
7239 N OCONTO AVE,755000.0,42.0128546,-87.80755978388842
nan,172435.0,41.8755616,-87.6244212
7134 W GREENLEAF AVE,189000.0,42.0101145,-87.6822996
10821 S MENARD AVE,210000.0,41.7816268,-87.7667624
10728 S INDIANA AVE,13000.0,41.69902155,-87.61878028239286
5646 W WAVELAND AVE,350000.0,41.9478911,-87.76870575000001
1000 S GROVE AVE,375000.0,41.8540791,-87.6380097
1413 S TRIPP AVE,170900.0,41.8619793,-87.7308998690103
8256 S LAFLIN ST,118800.0,41.74324545,-87.66111105824808
10334 S HAMLIN AVE,240000.0,41.70490785,-87.716231
4401 MADISON ST,550000.0,41.8793492,-87.8192844
7939 S UNION AVE,36000.0,41.74953655,-87.64130027854297
3729 N MARSHFIELD AVE,1795000.0,41.949719099999996,-87.66987218842655
nan,172435.0,41.8755616,-87.6244212
3547 S OAKLEY AVE,320000.0,41.82916076168728,-87.6824595671861
3925 N LOWELL AVE,530000.0,41.95252435,-87.7364944294186
5723 N MANTON AVE,220000.0,41.98667585,-87.76887931978348
5313 N MULLIGAN AVE,365000.0,41.9779378,-87.78633326091216
10000 MONTROSE AVE,225500.0,41.9639375,-87.8826409
3934 N PANAMA AVE,380500.0,41.95146165,-87.82959544023605
8513 S PHILLIPS AVE,39000.0,41.74052888346144,-87.5647407980577
4538 GROVE AVE,475000.0,42.3197848,-87.8513219
9935 HERRICK AVE,184900.0,41.9247523,-87.8387247
3722 N RICHMOND ST,400000.0,41.9492151,-87.70202673514262
1709 N TROY ST,610000.0,41.9122664,-87.70547624176777
5717 N TALMAN AVE,380000.0,41.9855134,-87.69531230791898
207 E ROSE ST,92000.0,41.9629181,-87.8660037
4421 N KIMBALL AVE,455000.0,41.961820149999994,-87.71289024133253
6547 S KEATING AVE,130000.0,41.7734028,-87.74065447279533
2316 W POLK ST,289900.0,41.871562600000004,-87.68450377233745
4827 N MELVINA AVE,612000.0,41.9693147,-87.78288255
4836 S SEELEY AVE,42000.0,41.8055713,-87.676071953125
1241 HOME AVE,425000.0,39.747374,-84.238737
3009 W CERMAK RD,115300.0,41.851609350000004,-87.7007754
4539 S MARSHFIELD AVE,34931.8181818182,41.8111035,-87.66602472386157
2954 183RD ST,149950.0,41.5573311,-87.763152
1911 W FARWELL AVE,739000.0,42.00619125,-87.67852603828103
2623 W SUMMERDALE AVE,300000.0,41.978387299999994,-87.6950781759515
1215 W 174TH ST,217500.0,41.5739845,-87.7445605
8554 S KOLIN AVE,244900.0,41.73679895,-87.73031491432458
12000 S HAMLIN AVE,60500.0,41.7709954,-87.7176595
1821 N CALIFORNIA AVE,425000.0,41.91452205,-87.69683874964412
134 INDIANA ST,20500.0,42.3002825,-87.8482937
134 INDIANA ST,119000.0,42.3002825,-87.8482937
1646 DOWNS DR,65000.0,41.88604763316583,-88.24216828140703
8507 N OLCOTT AVE,260000.0,41.9496548,-87.8145103
1322 S 58TH CT,78000.0,41.863366822723286,-87.77049338330191
10518 S STATE ST,129500.0,41.7029046,-87.62366663563472
6450 N NASHVILLE AVE,465000.0,41.9988372,-87.7911756976882
3339 W 23RD ST,65000.0,41.84973995,-87.70920422516072
2430 W FILLMORE ST,301000.0,41.8686335,-87.68737644963457
2819 E 76TH ST,155000.0,41.75829745,-87.55600421666666
7555 S WABASH AVE,102300.0,41.75666435,-87.62279433707944
322 W 60TH PL,32000.0,41.7846965,-87.63370865838527
115 BROADWAY AVE,39900.0,46.664295,-113.1488206
2946 N GRESHAM AVE,560000.0,41.935665349999994,-87.71524443433928
226 S 12TH AVE,190000.0,42.3130287,-87.8504933
2043 N KILDARE AVE,285000.0,41.9183316,-87.73367837971475
4756 S PRINCETON AVE,22000.0,41.807492499999995,-87.6335903317079
17461 HARLEM AVE,108000.0,41.701125,-87.7978359
2835 N MULLIGAN AVE,288000.0,41.9320632,-87.78424354357142
8428 S CARPENTER ST,50000.0,41.7405426,-87.65010234030325
806 CAMPBELL AVE,19900.0,41.5163088433303,-87.65184015548647
1440 W CULLOM AVE,631250.0,41.96001775,-87.66601845
7524 S MICHIGAN AVE,60000.0,41.75751425,-87.6218642502823
2407 AVONDALE AVE,345000.0,41.9389208,-87.711168
4401 GREENWOOD ST,408000.0,41.6142016,-87.5892114
9729 S KENNETH AVE,125671.0,41.7963345,-87.734284
134 S 6TH AVE,57000.0,42.301728,-87.8482748
1779 E TOUHY AVE,110611.0,42.0084552,-87.9406536
2135 W CHURCHILL ST,849950.0,41.914445549999996,-87.68141035624933
8761 N OSCEOLA AVE,268000.0,41.9502687,-87.8133493
1108 ASBURY AVE,680000.0,42.0197271,-87.6901769
10500 S UNION AVE,154000.0,41.70324255,-87.64060146004073
6706 S PARNELL AVE,32000.0,41.77228495,-87.63898720613292
1140 W NEWPORT AVE,387500.0,41.94466985,-87.65823207369712
3501 N ORANGE AVE,264000.0,41.9432758,-87.82383639463762
5314 GREENWOOD ST,242000.0,41.6142016,-87.5892114
15733 S ELLIS AVE,50500.0,41.8421032,-87.6139439
530 N MARSHFIELD AVE,730000.0,41.8918766,-87.66861321551329
10324 S SAWYER AVE,301000.0,41.70536465,-87.7027822191929
6610 N DAMEN AVE,215000.0,42.001870600000004,-87.68050539154132
1955 N FREMONT ST,1435000.0,41.91755525000001,-87.65063282817047
5122 W GRACE ST,218500.0,41.949843,-87.75561832827395
7636 S EMERALD AVE,55000.0,41.7550017,-87.64322014899105
5535 S WABASH AVE,525000.0,41.793297949999996,-87.62367754296116
